titre,description,lien,source,date
Sécurité des SI & social engineering - un état des lieux,"État des lieux des connaissances actuelles concernant le fonctionnement et la prévention du social engineering. Présentation des biais cognitifs utilisés lors des attaques, des étapes d'une attaque, contre-mesures actuelles.",https://hal.science/hal-04613192v1,Archives HAL,Mai 2024
"AI-Powered Social Engineering: Emerging Attack Vectors, Vulnerabilites, and Multi-Layered Defense Strategies","Présentation du Unified Model of AI-mediated Social Engineering (UM AISE), qui démontre que l'IA industrialise le Social Engineering, bouleverse le modèle économique du cybercrime et propose des solutions pour protéger les systèmes d'information.",https://www.mdpi.com/2073-431X/15/2/128,MDPI,17 février 2026
Vers une cybersécurité cognitive,"Intégration des sciences comportementales, de l'apprentissage profond et de l'intelligence artificielle pour protéger le système d'information. Cherche en ce sens à simuler le raisonnement humain et protéger les utilisateurs de la manipulation psychologique.",https://zenodo.org/records/19150955,Zenodo,Septembre 2021
Digital deception: generative artificial intelligence in social engineering and phishing,"Passage en revue des capacités de l'IA en social engineering, leurs implications. L'amplification de la personnalisation, du réalisme et de l'automatisme rendent les attaques plus puissantes. Intégration de l'IA dans le modèle développé par Mouton (Social engineering attack framework - 2014).",https://zenodo.org/records/19150955,Springer Nature Links,12 octobre 2024
"Deepfake-Driven Social Engineering: Threats, Detection Techniques and Defensive Strategies in Corporate Environments","Entre autres, présentation du modèle PREDICT comme solution de préparation proactive des entreprises face au social engineering augmenté par IA.",https://www.mdpi.com/2624-800X/5/2/18,MDPI,27 avril 2025
Detecting Deepfake-Enabled Social Engineering Attacks Using Mutlimodal AI,"Étude de l'efficacité d'une détection de deepfake basée sur un cadre multimodal (audio, vidéo, image). L'article montre que le multimode permet de mettre en avant des incohérences et se montre donc plus efficaces que le monomode. Le papier s'avoue encore théorique.",https://www.ijert.org/detecting-deepfake-enabled-social-engineering-attacks-using-multimodal-ai-techniques-ijertconv14is020069,IJERT,21 avril 2026
A comparative study of deepfake facial manipulation technique using generative adversarial networks,"Présentation des GAN, leurs différentes architectures, les bases de données (fausses et réelles) les plus courantes pour générer des deep fake. Exposition des principales formes de manipulations faciales et de détection.",https://link.springer.com/article/10.1007/s44163-025-00337-2,Springer Nature Links,17 juin 2025
"Claude Mythos AI Finds 10,000 High-Severity Flaws in Widely Used Software",Un exemple que l'intelligence artificielle ne sert pas seulement les Black Hats : l'entrée de Mythos fait du bruit en corrigeant de nombreuses vulnérabilités présentes dans le code source.,https://thehackernews.com/2026/05/claude-mythos-ai-finds-10000-high.html,The Hacker News,23 mai 2026
Des outils de spoofing vendus sur le dark web permettent d'usurper des numéros français,"Un véritable SaaS dédié à l'usurpation de numéros de téléphone s'est développé, avec son support inclus. Très réalistes, une génération de voix IA est proposée avec toute une communauté Télégram et son support derrière.",https://frenchbreaches.com/blog/des-outils-de-spoofing-vendus-sur-le-dark-web-permettent-dusurper-des-numeros-francais,French Breaches,17 mai 2026
A robust dual-pronged proactive defense framework against deepfakes via adversarial semi-fragile watermarking,Article partiellement accessible. Présentation d'un nouveau modèle de détection : Adversarial Semi-Fragile Watermarking (ASFW). Des données passives sont cachées dans un fichier : une modification tierce malveillante peut être détectée lorsque leur intégrité est touchée. Forensique passive.,https://www.sciencedirect.com/science/article/abs/pii/S0957417425043362,ScienceDirect,25 mars 2026
Exposing the Underground Mule-as-a-Service Economy: How AI and Telegram Are Reshaping Money Laundering,"Des plateformes sont conçues pour proposer des mules, c'est-à-dire des entités qui facilitent le blanchiment en multipliant les intermédiaires des flux financiers. L'IA est utilisée pour automatiser l'usurpation d'identité, faisant de ce service une réelle industrie.",https://www.kelacyber.com/blog/mule-as-a-service-money-laundering/,KELA,22 mai 2026
A Review of Deep Learning-based Approaches for Deepfake Content Detection,"Synthèse de 101 articles de sources reconnues publiés entre 2018 - 2024. Parle des principales méthodes de détection des deepfakes. 2 familles d'approches ressortent : spatiale, et temporelle. Évocation des bases de données usuelles et des GAN, générateurs et détecteurs de deepfake.",https://arxiv.org/abs/2202.06095,ArXiv,15 février 2024
Deep Insights of Deepface Technology : A Review,Vulgarisation approfondie du fonctionnement des réseaux de neurones permettant de générer et détecter des deepfake.,https://arxiv.org/abs/2105.00192,ArXiv,8 janvier 2023
Claude Mythos : voici pourquoi cette IA d'Anthropic fait peur à tout le monde,"Présentation de Claude Mythos, produit d'Anthropic. Mythos est doué dans la découverte massive de failles jusqu'ici inconnues. Il est aussi performant entre de bonnes que de mauvaises mains...",https://www.journaldugeek.com/2026/04/27/claude-mythos-voici-pourquoi-cette-ia-danthropic-fait-peur-a-tout-le-monde/,Journal du geek,27 avril 2026
Biais cognitif,"Comme l'ingénierie sociale repose sur des biais cognitifs, il est intéressant d'avoir un point d'entrée sur ce que c'est. Cet article Wikipédia est un point d'entrée vers les sciences cognitives.",https://fr.wikipedia.org/wiki/Biais_cognitif,Wikipédia,27 avril 2026
Don't go to the police,"Réalisé par Ludoc, nous pouvons voir comment se déroule, se construit et se déclenche une cyberattaque qui a réellement eu lieu. Des employés de l'entreprise, Orange Cyberdéfense, reviennent sur cette évènement et leur ressenti.",https://www.orangecyberdefense.com/dontgotothepolice/fr,Orange Cyberdéfense,12 mars 2026
Journée mondiale du mot de passe : repenser l'authentification à l'ère du deep learning,"À l'occasion cette journée, l'article met à jour des recommandations plus adaptées face à l'émergence de l'IA. Il est question de clés physiques FIDO2 et d'applications d'authentification sécurisées. Le renouvellement tous les 90 jours n'est plus recommandé.",https://www.solutions-numeriques.com/journee-mondiale-du-mot-de-passe-repenser-lauthentification-a-lere-du-deep-learning/,Solutions numériques & cybersécurité,6 mai 2026
Les hackers MuddyWater utilisent le raçongiciel Chaos comme leurre dans leurs attaques,L'ingénierie sociale via Microsoft Teams a permis de récupérer des identifiants à partir de sessions de partage d'écran. S'en est suivi des pages de phishing imitant Microsoft et le déployement d'une backdoor.,https://www.netcost-security.fr/actualites/272874/les-hackers-muddywater-utilisent-le-rancongiciel-chaos-comme-leurre-dans-leurs-attaques/,Netcost,6 mai 2026
Deepfakes: current and future trends,"Passage sur l'IOT. Tendances futures de développement de l'IA : transfert de l'apprentissage, augmentation des données, outils de visualisation de l'apprentissage, détection d'anomalies, prise de décision, systèmes en temps réel.",https://doi.org/10.1007/s10462-023-10679-x,Springer Nature Links,19 février 2024
Approche cognitive des cyberattaques par ingénierie sociale,"Prépondérance de la cognition dans le social engineering. Présentation des facteurs facilitant l'attaque : personnalité, stress, fatigue, charge mentale, niveau d'expertise... Requiert une sollicitation accrue des sciences cognitives et de la psychologie.",https://www.europeanscientist.com/fr/opinion/approche-cognitive-des-cyberattaques-par-ingenierie-sociale/,European Scientist,Septembre 2021
"France Titres (ANTS) piratée : noms, adresses, dates de naissance, jusqu'à 19 millions de comptes exposés","Retour sur la récente attaque de l'ANTS, dont une vulnérabilité de type IDOR serait à l'origine. Les données se sont retrouvées en vente. L'attaque ne nécessitait apparemment pas de niveau technique très élevé.",https://www.lesnumeriques.com/societe-numerique/france-titres-ants-victime-d-une-cyberattaque-massive-cartes-d-identite-passeports-permis-19-millions-de-comptes-exposes-n254613.html,Les Numériques,20 avril 2026
Shadow AI Is Making BYOD Security Even Harder,"""Shadow AI"" désigne l'utilisation de l'IA par les employés sans l'accord du service informatique de l'organisation. Le risque que des données appartenant à l'entreprise soient traitées et stockées par des IA externes est un risque, d'où l'importance de sensibiliser le personnel.",https://www.rtinsights.com/shadow-ai-is-making-byod-security-even-harder/,RTinsights,6 mai 2026
J'ai infiltré le réseau d'escrocs qui vous harcèlent au téléphone,Présentation du mécanisme mis en place par des entreprises structurées afin de faire souscrire à des personnes des contrats faisant perdre de l'argent aux prospects. On retrouve des techniques de biais cognitifs.,https://www.youtube.com/watch?v=1HoU17dIEos,Micode,19 mai 2026
Signal veut vous protéger du phishing en vous alertant,"Signal met en place des étapes supplémentaires de confirmation et d'authentification, suite à des attaques présupposées russes. Les attaquants se font passer pour le support technique et incitent à scanner un QR code afin de lier l'appareil ciblé au leur et accéder à toutes les informations.",https://www.generation-nt.com/actualites/signal-messagerie-alerte-phishing-2075447,GNT,13 mai 2026
Cyber Threat Intelligence (CTI),"La Cyber Threat Intelligence (CTI) est elle-aussi augmentée par l'IA. Cet article Wikipédia permet de comprendre qu'il s'agit d'une recherche proactive des menaces pour rendre l'entreprise consciente de son environnement numérique, ce afin d'y faire face.",https://fr.wikipedia.org/wiki/Threat_Intelligence,Wikipédia,29 novembre 2025
L'IA et le phishing-as-a-service font grimper en flèche les attaques par e-mail en 2026,"Présentation du Phishing-as-a-Service. Le phishing connaît une industrialisation, comme bon nombre de malware intégrant l'IA. Quelques chiffres sont donnés pour saisir la croissance constante de ce phénomène.",https://itdaily.fr/nouvelles/securite/ia-phishing-as-a-service-attaques-par-email/,ITDaily,15 mai 2026
"Faux profils, phishing et arnaques par IA ciblent de plus en plus les sportifs professionnels","Les sportifs sont davantage ciblés par des cyberattaques, en raison de la facilité d'accès des données personnelles et du manque de sécurité de leurs appareils, qui sont leurs appareils personnels.",https://karlobag.eu/fr/sport/faux-profils-phishing-et-arnaques-par-ia-ciblent-de-plus-en-plus-les-sportifs-pr-oqleb/,Karlobag,16 mai 2026
5 Benefits And Risks Of Using AI For Cybersecurity,"Détection proactive, combler le manque de compétences, augmenter la productivité, la résilience, croiser les dernières technologies. Adversaires plus performants, ingénierie sociale augmentée, boîte noire qu'est l'IA, échecs de conformité, exploitation des vulnérabilités de l'IoT.",https://www.forbes.com/sites/chuckbrooks/2026/05/18/5-benefits-and-risks-of-using-ai-for-cybersecurity/,Forbes,18 mai 2026
